Accepted Symbol,Scientific Name,Common Name,State and Province,Duration,Growth Hit,Native Status,Invasive,Image Gallery,Active Growth Period,After Harvest Regrowth Rate,Flower Color,Flower Conspicuous,Fruit Color,Fruit Conspicuous,Growth Rate,"Height, Mature (feet)",Lifespan,Toxicity,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,Adapted to Fine Textured Soils,Drought Tolerance,Moisture Use,Precipitation (Maximum),"Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,Bloom Period,Fruit/Seed Period Begin,Fruit/Seed Period End
CRRU3,Crepis runcinata,fiddleleaf hawksbeard,"[AZ, CA, CO, IA, ID, KS, MN, MT, ND, NE, NM, NV, OR, SD, TX, UT, WA, WY]",Perennial,Forb/herb,Native,,Photo,Summer,Slow,Yellow,Yes,Brown,No,Moderate,1.0,Short,None,No,Yes,Yes,Low,Medium,32,8,Medium,Intolerant,Late Spring,Summer,Summer
CRSP2,Crotalaria spectabilis,showy rattlebox,"[AL, AR, FL, GA, HI, IL, KY, LA, MO, MS, NC, OK, PW, SC, TN, TX, VA]",Annual,Forb/herb,Introduced,SWSS,Photo,"Spring, Summer, Fall",,Yellow,Yes,Black,Yes,Rapid,5.0,,Moderate,Yes,Yes,Yes,Medium,Medium,111,18,None,Intolerant,Mid Summer,Summer,Fall
CRTR5,Cressa truxillensis,spreading alkaliweed,"[AZ, CA, HI, NM, NV, OK, OR, TX, UT]",Perennial,"Subshrub, Forb/herb",Native,,Photo,Summer,Slow,White,Yes,Brown,No,Moderate,0.8,Moderate,None,No,Yes,Yes,Low,Medium,14,8,High,Intolerant,Late Spring,Summer,Summer
CRVI2,Crataegus viridis,green hawthorn,"[AL, AR, DE, FL, GA, IL, IN, KS, KY, LA, MD, MO, MS, NC, OK, PA, SC, TN, TX, VA, WV]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,White,Yes,Red,Yes,Moderate,30,Long,None,No,Yes,Yes,Low,High,60,18,None,Intolerant,Early Spring,Spring,Fall
CUFO,Cucurbita foetidissima,Missouri gourd,"[AR, AZ, CA, CO, FL, IA, IL, IN, KS, KY, MI, MO, NE, NM, NV, OH, OK, TX, UT, VA, WI, WY]",Perennial,"Forb/herb, Vine",Native,"NE&GP, SWSS",Photo,Spring and Summer,Rapid,Yellow,Yes,Yellow,Yes,Rapid,1.0,Moderate,None,Yes,Yes,Yes,High,Low,41,12,Low,Intolerant,Summer,Summer,Fall
CYBI6,Cyperus bipartitus,slender flatsedge,"[AL, AR, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY]",Annual,Graminoid,Native,,,"Spring, Summer, Fall",Slow,Green,No,Brown,No,Rapid,5.0,,None,Yes,Yes,Yes,Low,Medium,50,14,None,Intolerant,Mid Summer,Summer,Fall
CYCO,Cyperus compressus,poorland flatsedge,"[AL, AR, DE, FL, GA, HI, IL, IN, KY, LA, MD, MO, MS, NC, NJ, NM, NY, OH, PA, PW, SC, TN, TX, VA]","Annual, Perennial",Graminoid,Native,SWSS,Photo,Summer and Fall,Slow,Green,No,Brown,No,Rapid,1.0,Short,None,Yes,Yes,No,Low,Medium,50,8,None,Intolerant,Late Summer,Fall,Fall
CYDA,Cynodon dactylon,Bermudagrass,"[AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PW, SC, TN, TX, UM, UT, VA, WA, WV]",Perennial,Graminoid,Waif,"KY, N'EAST, STATE, SWSS, WSWS",Photo,Summer and Fall,Rapid,,No,,No,Rapid,1.5,Moderate,None,Yes,Yes,Yes,High,Medium,60,14,Medium,Intolerant,,,
CYER2,Cyperus erhrorhizos,redroot flatsedge,"[AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY]","Annual, Perennial",Graminoid,Native,SWSS,Photo,Summer and Fall,Slow,Green,No,White,No,Rapid,2.5,Short,None,Yes,Yes,No,Medium,Medium,50,10,None,Intolerant,Mid Summer,Summer,Fall
CYES,Cyperus esculentus,yellow nutsedge,"[AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV]",Perennial,Graminoid,Introduced,"KY, N'EAST, NE&GP, STATE, SWSS, WSWS",Photo,Summer and Fall,Slow,Green,No,Yellow,No,Rapid,0.7,Short,None,Yes,Yes,Yes,Medium,Low,55,10,Low,Intolerant,Mid Summer,Summer,Fall
CYFL,Cyperus flavescens,yellow flatsedge," [AL, AR, CA, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, WV]",Annual,Graminoid,Native,,Photo,Summer and Fall,Slow,Red,No,Black,No,Rapid,2.0,,None,Yes,Yes,No,Low,Medium,55,8,None,Intolerant,Late Summer,Summer,Fall
CYHA,Cyperus haspan,haspan flatsedge,"[AL, AR, FL, GA, HI, LA, MS, NC, PW, SC, TN, TX, VA]",Perennial,Graminoid,Native,HEAR,Photo,Spring,Slow,Brown,No,White,Yes,Moderate,3.2,Long,None,Yes,Yes,Yes,Low,Medium,60,16,High,Intolerant,Late Spring,Summer,Fall
CYLA3,Cyperus lancastriensis,manyflower flatsedge,"[AL, AR, DC, DE, GA, IL, KY, LA, MD, MO, MS, NC, NJ, OH, OK, PA, SC, TN, VA, WV]",Perennial,Graminoid,Native,,Photo,Summer and Fall,Slow,Green,No,Brown,No,Moderate,3.1,Moderate,None,Yes,Yes,No,Low,Low,55,12,None,Intolerant,Late Summer,Summer,Fall
CYOB2,Cydonia oblonga,quince,"[CA, CT, IL, MA, MD, NY, OH, OR, PA, VT]",Perennial,"Tree, Shrub",Introduced,,Photo,Summer,,White,Yes,Yellow,Yes,Slow,16,Moderate,None,Yes,Yes,No,Low,Medium,60,30,None,Intolerant,Spring,Summer,Fall
CYOD,Cyperus odoratus,fragrant flatsedge,"[AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NJ, NM, NY, OH, OK, OR, PA, PW, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV]","Annual, Perennial",Graminoid,Native,SWSS,Photo,Summer and Fall,Slow,Brown,No,Black,No,Moderate,2.0,Short,None,Yes,Yes,No,Low,Medium,55,8,Medium,Intolerant,Late Summer,Summer,Fall
CYPO,Cyperus polystachyos,manyspike flatsedge,"[AL, AR, DC, DE, FL, GA, HI, KY, LA, MA, MD, ME, MO, MS, NC, NJ, NY, OK, PA, PW, SC, TN, TX, UM, VA, WV]","Annual, Perennial",Graminoid,Native,,Photo,Spring and Fall,Slow,Green,No,Brown,No,Moderate,1.6,Short,None,Yes,Yes,Yes,Low,Medium,55,8,Low,Intolerant,Mid Summer,Summer,Fall
CYRA,Cyrilla racemiflora,swamp titi,"[AL, DE, FL, GA, LA, MS, NC, SC, TX, VA]",Perennial,"Tree, Shrub",Native,,Photo,Spring and Summer,,Yellow,Yes,Brown,No,Moderate,30,Short,,Yes,Yes,Yes,Low,,70,24,Low,Tolerant,Mid Summer,Summer,Fall
CYSC4,Cisus scoparius,Scotch broom,"[AK, AL, CA, CT, DC, DE, GA, HI, ID, KY, MA, MD, ME, MI, MT, NC, NH, NJ, NY, OH, OR, PA, SC, TN, UT, VA, WA, WV]",Perennial,Shrub,Introduced,"Cal-IPC, STATE, WSWS",Photo,Spring and Summer,,Yellow,Yes,Black,No,Rapid,7.0,Moderate,None,Yes,Yes,Yes,High,Low,60,16,Low,Intolerant,Spring,Spring,Summer
CYST,Cyperus strigosus,strawcolored flatsedge,"[AL, AR, AZ, CA, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV]",Perennial,Graminoid,Native,SWSS,Photo,Spring,Slow,Brown,No,Red,Yes,Moderate,3.2,Long,None,No,Yes,Yes,Low,Medium,60,16,None,Intolerant,Summer,Summer,Fall
DACA3,Danthonia californica,California oatgrass,"[AZ, CA, CO, ID, MA, MT, NM, NV, OR, SD, UT, WA, WY]",Perennial,Graminoid,Native,,Photo,"Fall, Winter and Spring",,,No,Brown,No,Moderate,2.0,Short,None,No,Yes,Yes,Medium,Medium,40,16,Low,Intolerant,Early Spring,Spring,Spring
DACO,Danthonia compressa,flattened oatgrass,"[AK, AL, AR, CT, DC, DE, GA, KY, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WV]",Perennial,Graminoid,Native,,,Spring,Slow,Yellow,No,Brown,No,Moderate,2.4,Moderate,None,Yes,Yes,Yes,Medium,Medium,55,10,None,Tolerant,Late Spring,Summer,Summer
DAFO,Dalea formosa,featherplume,"[AZ, CO, NM, OK, TX]",Perennial,"Subshrub, Shrub",Native,,Photo,"Spring, Summer, Fall",,Purple,Yes,Brown,No,Slow,3.0,Long,None,Yes,Yes,No,High,Low,20,16,Medium,Intolerant,Indeterminate,Spring,Fall
DAFRF,Dasiphora fruticosa ssp. floribunda,shrubby cinquefoil,"[AK, AZ, CA, CO, CT, IA, ID, IL, IN, MA, ME, MI, MN, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OR, PA, SD, UT, VT, WA, WI, WY]",Perennial,Shrub,Native,,Photo,,,,,,,,,,,,,,,,,,,,,,
DAFRF,Dasiphora floribunda,,,,,,,Photo,Spring and Summer,,Yellow,Yes,,No,Slow,2.5,Long,None,Yes,Yes,Yes,Low,Low,40,18,Medium,Intermediate,Indeterminate,Summer,Fall
DAGL,Dactylis glomerata,orchardgrass,,Perennial,Graminoid,Introduced,"N'EAST, NE&GP",Photo,Spring and Fall,Rapid,Yellow,No,Brown,No,Moderate,3.5,Moderate,None,No,Yes,Yes,Medium,Medium,60,12,Medium,Intermediate,Early Spring,Spring,Summer
DAIN,Danthonia intermedia,timber oatgrass,"[AK, AZ, CA, CO, ID, MI, MT, NM, NV, OR, SD, UT, WA, WY]",Perennial,Graminoid,Native,,,Spring and Summer,Slow,Yellow,No,Brown,No,Moderate,1.5,Short,None,Yes,No,No,Medium,Low,20,8,Medium,Intermediate,Late Spring,Summer,Summer
DAPUP,Dalea purpurea var. purpurea,purple prairie clover,"[AL, AR, AZ, CO, GA, IA, IL, IN, KS, KY, LA, MI, MN, MO, MS, MT, ND, NE, NM, NY, OH, OK, SD, TN, TX, WI, WY]",Perennial,"Forb/herb, Subshrub",Native,,Photo,Spring and Summer,Slow,Purple,Yes,Brown,No,Moderate,3.0,Moderate,None,Yes,Yes,Yes,Medium,Medium,24,16,None,Intolerant,Summer,Spring,Summer
DAUN,Danthonia unispicata,onespike danthonia,"[CA, CO, ID, MT, NV, OR, SD, UT, WA, WY]",Perennial,Graminoid,Native,,Photo,Spring and Summer,Rapid,Green,No,Brown,Yes,Rapid,0.8,Short,None,Yes,Yes,No,High,Low,155,6,None,Intolerant,Early Summer,Summer,Fall
DAWH2,Dasylirion wheeleri,common sotol,"[AZ, NM, TX]",Perennial,"Subshrub, Shrub",Native,,Photo,Spring and Summer,,White,Yes,Brown,No,Slow,15,Long,None,Yes,Yes,No,High,Low,14,24,Low,Intolerant,Mid Spring,Summer,Summer
DEAN,Delphinium andersonii,Anderson's larkspur,"[CA, ID, MT, NV, OR, UT]",Perennial,Forb/herb,Native,,Photo,Spring and Summer,Slow,Purple,Yes,Brown,No,Moderate,2.0,Moderate,Slight,Yes,No,No,High,Low,24,14,None,Tolerant,Mid Spring,Spring,Spring
DECE,Deschampsia cespitosa,tufted hairgrass,"[AK, AZ, CA, CO, CT, ID, IL, IN, KY, MA, MD, ME, MI, MN, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OR, PA, RI, SD, UT, VA, VT, WA, WI, WV, WY]",Perennial,Graminoid,Native,,Photo,,,,,,,,,,,,,,,,,,,,,,
DECE,Deschampsia caespitosa,,,,,,,Photo,Spring and Summer,Moderate,Yellow,No,Brown,No,Moderate,3.4,Long,None,Yes,Yes,Yes,Low,Low,24,14,Low,Intolerant,Mid Summer,Summer,Fall
DEDA,Deschampsia danthonioides,annual hairgrass,"[AK, AZ, CA, ID, ME, MT, NM, NV, NY, OH, OR, UT, WA, WY]",Annual,Graminoid,Native,,Photo,Spring and Summer,Slow,Yellow,No,Brown,No,Moderate,1.5,,None,Yes,Yes,Yes,Medium,Medium,30,6,None,Intermediate,Mid Spring,Spring,Summer
DEEL,Deschampsia elongata,slender hairgrass,"[AK, AZ, CA, ID, MA, ME, MT, NM, NV, OR, SC, UT, WA, WY]",Perennial,Graminoid,Native,,Photo,Spring and Summer,Slow,Yellow,No,Brown,No,Moderate,3.0,Short,None,Yes,Yes,Yes,Medium,Low,24,8,Medium,Intolerant,Late Spring,Spring,Summer
DEFL,Deschampsia flexuosa,wavy hairgrass,"[AK, AL, AR, CT, DC, DE, GA, KY, MA, MD, ME, MI, MN, NC, ND, NH, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WI, WV]",Perennial,Graminoid,Native,,Photo,Spring and Summer,Slow,Yellow,No,Brown,No,Moderate,2.6,Short,None,Yes,Yes,No,Medium,Medium,55,8,None,Tolerant,Late Spring,Summer,Summer
DEIL,Desmanthus illinoensis,Illinois bundleflower,"[AL, AR, CO, DC, FL, GA, IA, IL, IN, KS, KY, LA, MD, MN, MO, MS, NC, ND, NE, NM, NV, OH, OK, PA, SC, SD, TN, TX, UT, VA, WI]",Perennial,"Subshrub, Forb/herb",Native,SWSS,Photo,Spring and Summer,Moderate,White,Yes,Brown,No,Moderate,3.0,Long,None,Yes,Yes,Yes,Medium,Medium,24,12,None,Intolerant,Early Summer,Summer,Summer
DEIN2,Desmodium intortum,greenleaf ticktrefoil,"[AZ, HI]","Annual, Perennial","Vine, Forb/herb",Introduced,,Photo,Year Round,Rapid,Purple,Yes,Brown,No,Moderate,3.0,Long,None,Yes,Yes,Yes,Medium,Medium,159,12,None,Intermediate,Indeterminate,Spring,Spring
DEIN3,Desmodium incanum,zarzabacoa comun,"[FL, GA, HI, NAV, PW, TX]",Perennial,"Forb/herb, Subshrub",Introduced,,Photo,Spring,Rapid,Purple,Yes,Brown,No,Moderate,4.0,Short,Slight,Yes,No,Yes,High,Medium,118,12,None,Intolerant,Indeterminate,,
DEPA6,Desmodium paniculatum,panicledleaf ticktrefoil,"[AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV]",Perennial,Forb/herb,Native,,Photo,Spring and Summer,Slow,Purple,Yes,Brown,Yes,Moderate,3.0,Moderate,None,No,Yes,Yes,Medium,Low,90,6,None,Intermediate,Late Summer,Fall,Fall
DEPE80,Desmodium perplexum,perplexed ticktrefoil,"[AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV]",Perennial,Forb/herb,Native,,Photo,Summer,Moderate,White,No,Brown,No,Rapid,4.0,Short,None,Yes,Yes,Yes,Low,Medium,60,12,Low,Intermediate,Summer,Summer,Fall
DERE,Delonix regia,royal poinciana,"[FL, HI, NAV, PW]",Perennial,Tree,Introduced,,Photo,Year Round,,Orange,Yes,Black,Yes,Rapid,50,Moderate,None,Yes,Yes,Yes,Medium,Medium,100,60,Medium,Intermediate,Early Summer,Year Round,Year Round
DETO,Desmodium tortuosum,dixie ticktrefoil,"[AL, AR, FL, GA, HI, LA, MS, NC, SC, TX]","Annual, Perennial","Subshrub, Forb/herb",Native,SWSS,Photo,Spring and Summer,,Blue,Yes,Brown,Yes,Rapid,9.0,Moderate,None,Yes,Yes,Yes,High,Low,80,6,None,Intolerant,Summer,Fall,Winter
DETR4,Desmodium triflorum,threeflower ticktrefoil,"[FL, HI, LA, PW]",Perennial,Forb/herb,Introduced,,Photo,Summer,Rapid,Purple,No,,No,,1.0,Short,Slight,Yes,No,No,High,,70,12,None,Intermediate,,,
DEVI3,Desmanthus virgatus,wild tantan,"[FL, LA, TX, UM]",Perennial,"Subshrub, Forb/herb",Native,,Photo,Spring and Summer,Moderate,White,No,Brown,Yes,Slow,2.0,Moderate,None,Yes,Yes,Yes,High,Low,80,24,Medium,Tolerant,Indeterminate,Year Round,Year Round
DIAC,Dichanthelium aciculare,needleleaf rosette grass,"[AL, AR, DC, DE, FL, GA, IN, KY, LA, MD, MS, NC, NJ, NY, OK, PA, SC, TN, TX, VA, WV]",Perennial,Graminoid,Native,,Photo,Summer,Slow,Green,No,Yellow,No,Rapid,1.6,Short,None,Yes,Yes,No,High,Low,60,4,None,Intermediate,Summer,Summer,Fall
DIAN,Dichanthium annulatum,Kleberg's bluestem,"[HI, LA, TX]",Perennial,Graminoid,Introduced,,Photo,Spring and Summer,Moderate,Yellow,No,Black,No,Rapid,3.0,Moderate,None,Yes,Yes,Yes,Low,Medium,60,18,Low,Intolerant,Late Spring,Spring,Fall
DIAR5,Dichanthium aristatum,Angleton bluestem,"[FL, HI, LA, TX]",Perennial,Graminoid,Introduced,,Photo,Spring and Summer,Moderate,Yellow,No,Black,No,Rapid,3.0,Moderate,None,Yes,Yes,Yes,Low,Medium,60,18,Low,Intolerant,Late Spring,Spring,Fall
DICA8,Digitaria californica,Arizona cottontop,"[AZ, CA, CO, NM, OK, TX]",Perennial,Graminoid,Native,,Photo,Spring and Summer,Rapid,White,No,Brown,No,Rapid,4.0,Short,None,Yes,Yes,No,High,Low,14,10,Medium,Intolerant,Late Summer,Summer,Fall
DICI,Digitaria ciliaris,southern crabgrass,"[AL, AR, AZ, CA, CT, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NE, NJ, NM, NY, OH, OK, PA, PW, SC, TN, TX, UM, UT, VA]",Annual,Graminoid,Native,SWSS,Photo,Summer and Fall,Moderate,Yellow,No,Brown,No,Rapid,0.9,,None,Yes,Yes,Yes,Low,Medium,50,5,None,Intolerant,Late Summer,Fall,Fall
DICL,Dichanthelium clandestinum,deertongue,"[AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WV]",Perennial,Graminoid,Native,,Photo,Spring and Summer,Slow,,No,Brown,No,Slow,2.0,Long,None,Yes,Yes,Yes,High,Low,65,16,Low,Intolerant,Early Summer,Summer,Fall
DICO2,Dichanthelium commutatum,variable panicgrass,"[AL, AR, CT, DC, DE, FL, GA, IL, IN, KY, LA, MA, MD, ME, MI, MO, MS, NC, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, WV]",Perennial,Graminoid,Native,,Photo,Summer,Slow,Green,No,Yellow,No,Rapid,4.9,Short,None,Yes,Yes,No,Medium,Low,60,4,None,Intermediate,Summer,Summer,Fall
DIER,Digitaria eriantha,digitgrass,"[AZ, CA, FL, HI, NM, PW]",Perennial,Graminoid,Introduced,,Photo,Year Round,Rapid,,No,,No,Rapid,3.1,Long,None,Yes,Yes,Yes,Low,High,60,18,None,Intolerant,,,
DIFR6,Ditrysinia fruticosa,Gulf Sebastian-bush,"[AL, AR, FL, GA, LA, MS, NC, SC, TX]",Perennial,"Shrub, Subshrub",Native,,,,,,,,,,,,,,,,,,,,,,,,
DIFR6,Sebastiania fruticosa,,,,,,,Photo,Summer and Fall,,Green,No,Brown,No,Moderate,12,Short,Severe,Yes,No,No,Medium,Low,68,24,None,Tolerant,Summer,Summer,Fall
DILA8,Dichanthelium latifolium,broadleaf rosette grass,"[AL, AR, CT, DC, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, NC, NE, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV]",Perennial,Graminoid,Native,,,Summer,Slow,Green,No,Yellow,No,Rapid,3.3,Short,None,Yes,Yes,No,Medium,Low,60,4,None,Intermediate,Spring,Summer,Fall
DILO,Diervilla lonicera,northern bush honeysuckle,"[AL, CT, DE, GA, IA, IL, IN, MA, MD, ME, MI, MN, NC, ND, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WI, WV]",Perennial,Shrub,Native,,Photo,Spring,,Purple,Yes,Brown,No,Slow,2.4,Long,None,Yes,Yes,No,High,Low,50,16,None,Intermediate,Late Spring,Summer,Summer
DIOV,Dichanthelium ovale,eggleaf rosette grass,"[AL, AR, CT, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, MI, MN, MS, NC, NJ, NY, OH, OK, PA, SC, TX, VA, WI]",Perennial,Graminoid,Native,,Photo,Spring,Slow,Green,No,Yellow,No,Rapid,1.7,Short,None,Yes,Yes,No,High,Low,50,4,None,Tolerant,Spring,Summer,Fall
DIPU,Digitalis purpurea,purple foxglove,"[AK, CA, CO, CT, ID, MA, MD, ME, MI, MT, NH, NJ, NY, OH, OR, PA, UT, VT, WA, WI, WV, WY]",Biennial,Forb/herb,Introduced,WSWS,Photo,Spring and Summer,Moderate,Purple,Yes,Black,No,Moderate,5.0,Short,Moderate,No,Yes,Yes,Low,Medium,60,6,None,Intolerant,Summer,Summer,Fall
DISC2,Dichanthelium scabriusculum,woolly rosette grass,"[AL, AR, CT, DC, DE, FL, GA, LA, MA, MD, MS, NC, NJ, NY, PA, RI, SC, TN, TX, VA]",Perennial,Graminoid,Native,,Photo,Summer,Slow,Green,No,Yellow,No,Rapid,2.5,Short,None,Yes,Yes,Yes,Low,Medium,65,4,None,Intermediate,Summer,Summer,Fall
DISC3,Dichanthelium scoparium,velvet panicum,"[AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OK, PA, RI, SC, TN, TX, VA]",Perennial,Graminoid,Native,,Photo,Summer,Slow,Green,No,Yellow,No,Rapid,4.3,Short,None,Yes,Yes,No,Low,Medium,55,6,None,Tolerant,Summer,Summer,Fall
DISP,Distichlis spicata,saltgrass,"[AL, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, KS, LA, MA, MD, ME, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TX, UT, VA, WA, WI, WY]",Perennial,Graminoid,Native,"NE&GP, WSWS",Photo,"Spring, Summer, Fall",Slow,Yellow,No,Brown,No,Slow,1.1,Long,None,No,Yes,Yes,Medium,Medium,70,2,High,Intolerant,Mid Summer,Summer,Fall
DIVI5,Diospyros virginiana,common persimmon,"[AL, AR, CA, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MO, MS, NC, NE, NJ, NY, OH, OK, PA, SC, TN, TX, UT, VA, WV]",Perennial,Tree,Native,,Photo,Spring and Summer,,Yellow,No,Orange,Yes,Slow,55,Long,None,Yes,Yes,Yes,Medium,Medium,80,36,Low,Tolerant,Late Spring,Summer,Winter
DOBI,Downingia bicornuta,doublehorn calicoflower,"[CA, ID, NV, OR]",Annual,Forb/herb,Native,,Photo,Spring and Summer,,Purple,Yes,Brown,No,Rapid,0.8,,None,No,Yes,Yes,Low,Medium,32,6,None,Intolerant,Mid Spring,Spring,Summer
DOLA,Douglasia laevigata,cliff dwarf-primrose,"[AK, OR, WA]",Perennial,"Subshrub, Forb/herb",Native,,Photo,Spring and Summer,Slow,Purple,Yes,Brown,No,Moderate,0.2,Moderate,None,Yes,Yes,No,Low,Medium,24,6,None,Intermediate,Late Spring,Spring,Summer
DOLA2,Downingia laeta,Great Basin calicoflower,"[CA, ID, MT, NV, OR, UT, WY]",Annual,Forb/herb,Native,,,Spring and Summer,,White,Yes,Brown,No,Rapid,0.8,,None,No,Yes,Yes,Low,High,25,8,Low,Intolerant,Late Spring,Summer,Summer
DOME,Dodecatheon meadia,pride of Ohio,"[AL, AR, DC, FL, GA, IA, IL, IN, KS, KY, LA, MD, MI, MN, MO, MS, NC, NY, OH, OK, PA, SC, TN, TX, VA, WI, WV]",Perennial,Forb/herb,Native,,Photo,Spring,Slow,White,Yes,Brown,No,Moderate,2.0,Short,None,Yes,Yes,No,Low,Medium,55,12,None,Tolerant,Spring,Summer,Summer
DOPU,Dodecatheon pulchellum,darkthroat shootingstar,"[AK, AZ, CA, CO, ID, MT, ND, NE, NM, NV, OR, SD, UT, WA, WY]",Perennial,Forb/herb,Native,,Photo,Spring and Summer,,Purple,Yes,Brown,Yes,,2.0,Moderate,None,Yes,Yes,No,Low,Medium,30,8,None,Intermediate,Late Spring,Spring,Fall
DOVI,Dodonaea viscosa,Florida hopbush,"[AZ, CA, FL, HI, PW]",Perennial,"Tree, Shrub",Native,,Photo,"Spring, Summer, Fall",,White,No,Brown,Yes,Rapid,15,Moderate,None,Yes,Yes,Yes,High,Low,32,18,Medium,Intermediate,Late Spring,Summer,Summer
DRAM,Dracopis amplexicaulis,clasping coneflower,"[AL, AR, FL, GA, IL, KS, LA, MO, MS, ND, NM, OK, SC, TX]",Annual,Forb/herb,Native,,Photo,Spring and Summer,,Yellow,Yes,Black,Yes,Rapid,2.0,,None,Yes,Yes,Yes,High,High,60,6,None,Intolerant,Late Summer,Summer,Fall
DRCR4,Dryopteris cristata,crested woodfern,"[AL, CT, DC, DE, GA, IA, ID, IL, IN, MA, MD, ME, MI, MN, MO, MT, NC, ND, NE, NH, NJ, NY, OH, PA, RI, TN, VA, VT, WA, WI, WV]",Perennial,Forb/herb,Native,,,Spring and Summer,Slow,Brown,No,Brown,No,Moderate,1.6,Moderate,None,No,Yes,Yes,Low,High,55,12,None,Tolerant,Summer,Summer,Fall
DRDR,Dryas drummondii,Drummond's mountain-avens,"[AK, ID, MT, OR, WA]",Perennial,"Shrub, Forb/herb, Subshrub",Native,,Photo,Spring and Summer,,Yellow,Yes,Brown,No,Slow,1.0,Short,None,Yes,Yes,No,Low,Medium,40,12,None,Tolerant,Late Spring,Summer,Summer
DROC,Dryas octopetala,eightpetal mountain-avens,"[AK, CO, ID, MT, OR, UT, WA, WY]",Perennial,"Subshrub, Shrub, Forb/herb",Native,,Photo,Spring,,White,Yes,White,Yes,Rapid,0.3,Short,None,Yes,No,No,Medium,Low,32,12,None,Intermediate,Late Spring,Spring,Summer
DUAR3,Dulichium arundinaceum,three-way sedge,"[AK, AL, AR, CA, CT, DC, DE, FL, GA, IA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, TN, TX, VA, VT, WA, WI, WV, WY]",Perennial,Graminoid,Native,,Photo,Summer,Slow,Brown,No,Brown,No,Moderate,2.6,Moderate,None,Yes,Yes,Yes,Low,High,60,18,None,Intermediate,Late Summer,Fall,Fall
